excel_row,Categorie,Vraag NL,Antwoord
1461,Geografie,"Hoeveel miljoen inwoners heeft Colombia (2024, afgerond op tientallen)?",50
1462,Geografie,"Hoeveel miljoen inwoners heeft Peru (2024, afgerond op tientallen)?",30
1463,Geografie,"Hoeveel miljoen inwoners heeft Chili (2024, afgerond op tientallen)?",20
1464,Geografie,Hoeveel duizend meter hoog ligt het Titicacameer boven zeeniveau (in duizenden afgerond)?,4
1465,Gebouwen en infrastructuur,Hoeveel meter hoog is Christus Redentor inclusief sokkel afgerond op tientallen?,40
1466,Gebouwen en infrastructuur,Hoeveel stappen telt de Mayapyramide El Castillo per zijde?,91
1467,Gebouwen en infrastructuur,Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?,365
1468,Geschiedenis,In welk jaar werd Mexico onafhankelijk van Spanje?,1821
1469,Geschiedenis,In welk jaar werd Peru onafhankelijk van Spanje?,1821
1470,Geschiedenis,In welk jaar werd Argentinië onafhankelijk van Spanje?,1816
1471,Geschiedenis,In welk jaar werd Chili onafhankelijk van Spanje?,1818
1472,Geschiedenis,In welk jaar werd Colombia onafhankelijk van Spanje?,1810
1473,Geschiedenis,In welk jaar werd Venezuela onafhankelijk van Spanje?,1811
1474,Geschiedenis,In welk jaar werd Bolivia onafhankelijk van Spanje?,1825
1475,Geschiedenis,In welk jaar werd Paraguay onafhankelijk van Spanje?,1811
1476,Dieren,Hoeveel soorten vogels telt Colombia bij benadering (in honderden afgerond)?,1900
1477,Dieren,Hoeveel kilometer per uur sprint een jaguar afgerond op tientallen?,80
1478,Eten & drinken,Hoeveel liter mate drinkt de gemiddelde Uruguayaan per jaar (in tientallen liters)?,80
1479,Muziek,Hoeveel snaren heeft de klassieke Colombiaanse tiple?,12
1480,Sport,Hoeveel keer was Mexico gastheer van de FIFA World Cup (2026 inbegrepen)?,3
1481,Sport,Hoeveel keer won Brazilië de Copa América tot 2024?,9
1482,Politiek en recht,Hoeveel departementen telt Colombia (2024)?,32
1483,Politiek en recht,Hoeveel departementen telt Peru?,25
1484,Politiek en recht,Hoeveel provincies telt Ecuador?,24
1485,Politiek en recht,Hoeveel departementen telt Bolivia?,9
1486,Sport,Hoeveel spelers heeft een hockeyteam op het veld per ploeg?,11
1487,Sport,Hoeveel spelers heeft een basketbalteam op het veld per ploeg?,5
1488,Sport,Hoeveel spelers heeft een handbalteam op het veld per ploeg?,7
1489,Sport,Hoeveel minuten duurt een NBA-basketbalwedstrijd officieel?,48
1490,Sport,Hoeveel pijlen gooit een darter per beurt?,3
1491,Sport,Hoeveel punten is een maximale dartscore met drie pijlen?,180
1492,Sport,Hoeveel kilometer lang is een marathon?,42
1493,Sport,Hoeveel kilometer lang is een halve marathon (afgerond)?,21
1494,Sport,Hoeveel meter is de klassieke sprintafstand in de atletiek?,100
1495,Sport,Hoeveel ringen heeft het Olympische symbool?,5
1496,Sport,Hoeveel jaar zit er tussen twee zomer-Olympische Spelen?,4
1497,Sport,Hoeveel jaar zit er tussen twee WK-voetbaltoernooien?,4
1498,Sport,Hoeveel keer werd de FIFA World Cup georganiseerd tot en met 2022?,22
1499,Sport,Hoeveel landen deden mee aan het FIFA World Cup 2022?,32
1500,Sport,Hoeveel landen doen mee aan het FIFA World Cup 2026?,48
1501,Sport,Hoeveel keer won Duitsland de FIFA World Cup?,4
1502,Sport,Hoeveel keer won Italië de FIFA World Cup?,4
1503,Sport,Hoeveel keer won Uruguay de FIFA World Cup?,2
1504,Sport,Hoeveel keer won Engeland de FIFA World Cup?,1
1505,Sport,Hoeveel keer won Spanje de FIFA World Cup?,1
1506,Sport,Hoeveel Champions League-titels won Real Madrid tot 2024?,15
1507,Sport,Hoeveel Champions League-titels won AC Milan tot 2024?,7
1508,Sport,Hoeveel punten levert een touchdown zonder extra point op?,6
1509,Sport,Hoeveel punten levert een fieldgoal op in American football?,3
1510,Sport,Hoeveel pogingen heeft een gewichtheffer per discipline?,3
1511,Sport,Hoeveel meter sprintt een schaatser op de kortebaan-afstand?,500
