excel_row,Categorie,Vraag NL,Antwoord
1196,Geografie,Hoeveel officiële talen erkennt India landelijk bij benadering (in tientallen afgerond)?,20
1197,Geografie,Hoeveel eilanden telt Indonesië officieel (2024)?,17000
1198,Geografie,Hoeveel provincies heeft Japan bij benadering (in tientallen)?,40
1199,Geografie,Hoeveel prefecturen heeft Japan?,47
1200,Geografie,Hoeveel provincies heeft China bij benadering (in tientallen)?,20
1201,Geografie,Hoeveel emiraten telt de Verenigde Arabische Emiraten?,7
1202,Geografie,Hoeveel kilometer lang is de Ganges rivier bij benadering (in duizenden km afgerond)?,3
1203,Geografie,Hoeveel meter hoog is Mount Everest?,8849
1204,Geografie,Hoeveel meter hoog is K2 afgerond op honderdtallen?,8600
1205,Geografie,Hoeveel van de 14 bergen boven de 8000 meter liggen in de Himalaya?,10
1206,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Grote Muur van China officieel gemeten (2024 in duizenden km afgerond)?,21
1207,Gebouwen en infrastructuur,Hoeveel meter hoog is de Burj Khalifa afgerond op honderdtallen?,830
1208,Gebouwen en infrastructuur,Hoeveel meter hoog is de Shanghai Tower afgerond op honderdtallen?,600
1209,Gebouwen en infrastructuur,Hoeveel torens heeft de Petronas Twin Towers?,2
1210,Gebouwen en infrastructuur,Hoeveel meter hoog is de Taj Mahal afgerond op tientallen?,70
1211,Gebouwen en infrastructuur,Hoeveel onderdakplekken biedt het Forbidden City in Beijing bij benadering (in honderden kamers)?,8
1212,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Tokyo Skytree uitkijkplatform?,2
1213,Gebouwen en infrastructuur,Hoeveel meter hoog is de Tokyo Tower afgerond op tientallen?,330
1214,Geschiedenis,In welk jaar viel de Berlijnse Muur niet maar werd Japan aangevallen door de VS in Pearl Harbor?,1941
1215,Geschiedenis,In welk jaar eindigde de Tweede Wereldoorlog in Azië met de capitulatie van Japan?,1945
1216,Geschiedenis,In welk jaar werd India onafhankelijk van Groot-Brittannië?,1947
1217,Geschiedenis,In welk jaar werd de Volksrepubliek China gesticht?,1949
1218,Geschiedenis,In welk jaar begon de Koreaanse oorlog?,1950
1219,Geschiedenis,Hoeveel dynastieën telt de Chinese geschiedenis bij benadering (in tientallen afgerond)?,10
1220,Geschiedenis,Hoeveel Wonderen van de Oude Wereld lagen in Azië of Noord-Afrika samen?,4
1221,Geschiedenis,Hoeveel dagen duurde de val van Saigon tot de hereniging (in tientallen dagen afgerond)?,30
1222,"Filosofie, psychologie en religie",Hoeveel boeken bevat de Koran?,114
1223,"Filosofie, psychologie en religie",Hoeveel procent van de wereldbevolking is boeddhistisch bij benadering (in tientallen procenten)?,10
1224,"Filosofie, psychologie en religie",Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?,8
1225,"Filosofie, psychologie en religie",Hoeveel edelwaarheden kent het boeddhisme?,4
1226,"Filosofie, psychologie en religie",Hoeveel avatars heeft Vishnu volgens de Hindoe traditie?,10
1227,"Filosofie, psychologie en religie",Hoeveel keer per dag bidden moslims volgens de vijf pilaren van de islam?,5
1228,"Filosofie, psychologie en religie",Hoeveel dagen duurt de Ramadan per jaar (maanmaand afgerond op tientallen)?,30
1229,"Filosofie, psychologie en religie",Hoeveel pelgrims bezoeken Mekka jaarlijks bij benadering (in miljoenen)?,2
1230,Eten & drinken,Hoeveel soorten sushi wordt er klassiek onderscheiden in Japan (hoofdtypes)?,5
1231,Eten & drinken,Hoeveel calorieën bevat een portie Pad Thai afgerond op tientallen?,700
1232,Eten & drinken,Hoeveel kruiden bevat de klassieke Chinese Five-Spice?,5
1233,Eten & drinken,Hoeveel soorten curry bevat de Indiase keuken bij benadering (in tientallen)?,30
1234,Muziek,Hoeveel snaarinstrumenten bevat de klassieke Japanse koto-ensemble van hoort?,13
1235,Muziek,Hoeveel snaren heeft een klassieke Japanse koto?,13
1236,Muziek,Hoeveel snaren heeft de Indiase sitar bij benadering (in tientallen)?,20
1237,Muziek,Hoeveel snaren heeft de klassieke Chinese guzheng bij benadering (in tientallen)?,20
1238,Dieren,Hoeveel vlekken heeft een klassieke Bengaalse tijger bij benadering (in tientallen)?,100
1239,Dieren,Hoeveel kilogram weegt een volwassen Aziatische olifant afgerond op duizendtallen?,4000
1240,Dieren,Hoeveel kilogram weegt een volwassen Bengaalse tijger afgerond op honderdtallen?,200
1241,Dieren,Hoeveel soorten dieren bevat de Chinese zodiac?,12
1242,Dieren,Hoeveel pagodavormige heuvels heeft de klassieke Chinese berg Huangshan bij benadering (in tientallen pieken)?,70
1243,Sterrenkunde & ruimte,Hoeveel maanmissies naar de maan (Chang e-programma) lanceerde China?,6
1244,Sterrenkunde & ruimte,Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?,104
1245,Technologie,In welk jaar werd de Toyota motorfiets eerste gebouwd - nee Toyota is auto (1885 Daimler - dit zit niet in Azië)?,0
1246,Technologie,In welk jaar werd Sony opgericht?,1946
1247,Technologie,In welk jaar werd Samsung opgericht?,1938
1248,Technologie,In welk jaar werd Toyota opgericht als automerk?,1937
