excel_row,Categorie,Vraag NL,Antwoord
1143,Geografie,Hoeveel landen grenzen aan Frankrijk (vasteland excl. overzeese gebieden)?,8
1144,Geografie,Hoeveel landen grenzen aan Spanje (vasteland)?,5
1145,Geografie,Hoeveel landen grenzen aan Polen?,7
1146,Geografie,Hoeveel officiële talen heeft België?,3
1147,Geschiedenis,In welk jaar viel de Berlijnse Muur?,1989
1148,Geschiedenis,In welk jaar eindigde de Eerste Wereldoorlog?,1918
1149,Geschiedenis,In welk jaar begon de Franse Revolutie met de bestorming van de Bastille?,1789
1150,Geschiedenis,In welk jaar werd de Berlijnse Muur gebouwd?,1961
1151,Geschiedenis,Hoeveel jaar duurde de Honderdjarige Oorlog tussen Engeland en Frankrijk?,116
1152,Geschiedenis,Hoeveel jaar duurde de Dertigjarige Oorlog?,30
1153,Geschiedenis,Hoeveel landen ondertekenden het Verdrag van Rome in 1957?,6
1154,Geschiedenis,Hoeveel landen waren er bij de oprichting van de NAVO in 1949?,12
1155,Gebouwen en infrastructuur,Hoeveel meter hoog is de Eiffeltoren met antenne?,330
1156,Gebouwen en infrastructuur,Hoeveel boogsegmenten telt het Colosseum per verdieping?,80
1157,Gebouwen en infrastructuur,Hoeveel meter hoog is Big Ben (Elizabeth Tower) afgerond op tientallen?,100
1158,Gebouwen en infrastructuur,Hoeveel kilometer lang is het Eurotunnel tussen Engeland en Frankrijk onder de zee (in tientallen km)?,50
1159,Gebouwen en infrastructuur,Hoeveel meter hoog is het Neuschwanstein Kasteel van buiten afgerond op tientallen?,60
1160,Kunst en cultuur,Hoeveel sleutelvakken heeft het Leonardo da Vinci werk Laatste Avondmaal in cm hoogte afgerond op tientallen?,460
1161,Kunst en cultuur,Hoeveel natuursonden (beelden) staan er op Paaseiland - sorry dat zit niet in Europa!,0
1162,"Filosofie, psychologie en religie",Hoeveel discipelen had Jezus volgens de Bijbel?,12
1163,"Filosofie, psychologie en religie",Hoeveel boeken bevat het Nieuwe Testament bij de protestante telling?,27
1164,"Filosofie, psychologie en religie",Hoeveel zwaarden waren er volgens de legende van koning Arthur beschikbaar?,1
1165,Sport,Hoeveel landen doen er mee aan de klassieke Europese voetbalkampioenscompetitie (Champions League groepsfase) bij benadering (in tientallen)?,30
1166,Sport,Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?,15
1167,Sport,Hoeveel games worden er in een Wimbledon-set minimaal gewonnen om de set te pakken?,6
1168,Sport,Hoeveel keer won Frankrijk de Tour de France bij de mannen tot 2024?,36
1169,Sport,Hoeveel proloog kilometers telt een Tour de France etappe bijna nooit?,0
1170,Eten & drinken,Hoeveel soorten kaas produceert Frankrijk officieel bij benadering (in honderdtallen)?,300
1171,Eten & drinken,Hoeveel landen hebben de Italiaanse pizza Margherita als cultureel erfgoed erkend?,1
1172,Eten & drinken,Hoeveel liter olijfolie drinkt de gemiddelde Griek per jaar afgerond op tientallen?,20
1173,Eten & drinken,Hoeveel soorten Duitse worsten kent de Duitse keuken bij benadering (in honderdtallen)?,300
1174,Muziek,Hoeveel Eurovision Songfestivals won Ierland (2024 stand)?,7
1175,Muziek,Hoeveel Eurovision Songfestivals won Zweden tot 2024?,7
1176,Muziek,Hoeveel piano sonates schreef Beethoven bij benadering (in tientallen afgerond)?,30
1177,Muziek,Hoeveel symfonieën schreef Mozart bij benadering (in tientallen afgerond)?,40
1178,Boeken en literatuur,Hoeveel delen telt de Harry Potter serie in totaal?,7
1179,Boeken en literatuur,Hoeveel delen telt de Lord of the Rings trilogie in totaal?,3
1180,Boeken en literatuur,Hoeveel toneelstukken schreef Shakespeare bij benadering (in tientallen afgerond)?,40
1181,Boeken en literatuur,Hoeveel delen telt de Don Quichot in de volledige moderne editie?,2
1182,Films en series,Hoeveel James Bond films met Daniel Craig verschenen er?,5
1183,Films en series,Hoeveel Oscar nominaties kreeg La La Land?,14
1184,Films en series,Hoeveel delen telt de Harry Potter filmreeks van Warner Bros?,8
1185,Politiek en recht,Hoeveel landen telt de NAVO (2024)?,32
1186,Politiek en recht,Hoeveel zetels telt het Europees Parlement (2024-2029)?,720
1187,Politiek en recht,Hoeveel landen nemen er deel aan de Schengenzone (2024)?,29
1188,Politiek en recht,Hoeveel leden telt de Raad van Europa (2024) bij benadering (in tientallen)?,40
1189,Politiek en recht,Hoeveel leden telt de Europese Commissie?,27
1190,Geschiedenis,In welk jaar werd de Eerste Franse Republiek uitgeroepen?,1792
1191,Geografie,Hoeveel landen telt Azië bij benadering (in tientallen)?,50
1192,Geografie,Hoeveel landen grenzen aan China (vasteland excl. zee)?,14
1193,Geografie,Hoeveel landen grenzen aan Rusland (vasteland excl. overzeese)?,14
1194,Geografie,Hoeveel landen grenzen aan India (vasteland)?,7
1195,Geografie,Hoeveel tijdzones telt India als één land?,1
