excel_row,Categorie,Vraag NL,Antwoord
1355,Geschiedenis,In welk year ontdekte Columbus Amerika (de eerste reis)?,1492
1356,Geschiedenis,In welk jaar viel het Azteekse rijk aan de Spanjaarden onder Cortés?,1521
1357,Geschiedenis,In welk jaar viel het Inca-rijk aan de Spanjaarden onder Pizarro?,1533
1358,Geschiedenis,In welk jaar werd Brazilië officieel onafhankelijk van Portugal?,1822
1359,Geschiedenis,Hoeveel jaar duurde de rubberboom-crisis in de Amazone bij benadering (in tientallen jaar afgerond)?,40
1360,Dieren,Hoeveel soorten vogels telt de Amazone bij benadering (in honderden afgerond)?,1300
1361,Dieren,Hoeveel soorten dieren telt het Amazone regenwoud bij benadering (in miljoenen - schatting afgerond op tientallen van miljoenen)?,10
1362,Dieren,Hoeveel kilogram weegt een volwassen jaguar mannetje afgerond op tientallen?,100
1363,Dieren,Hoeveel meter lang kan een groene anaconda worden afgerond op hele meters?,6
1364,Dieren,Hoeveel soorten apen telt het Amazonegebied bij benadering (in tientallen afgerond)?,100
1365,Eten & drinken,Hoeveel kilogram koffie produceert Brazilië jaarlijks bij benadering (in miljoenen zakken afgerond op tientallen)?,60
1366,Eten & drinken,Hoeveel procent van de wereldkoffie wordt geproduceerd door Brazilië (afgerond op tientallen)?,30
1367,Eten & drinken,Hoeveel liter mate theedrinkt de gemiddelde Argentijn per jaar bij benadering (in tientallen liters)?,50
1368,Eten & drinken,Hoeveel kilogram rundvlees eet de gemiddelde Argentijn per jaar bij benadering (in tientallen kg afgerond)?,50
1369,Muziek,Hoeveel snaren heeft de klassieke Mexicaanse mariachi-gitarron (bajo sexto)?,12
1370,Muziek,Hoeveel muzikanten heeft een klassieke mariachi band bij benadering (in tientallen afgerond)?,10
1371,Muziek,Hoeveel dansstijlen worden er klassiek onderscheiden in de Cubaanse rumba-familie (drie hoofdstijlen)?,3
1372,Sport,Hoeveel keer won Brazilië de FIFA World Cup voetbal bij de mannen (2024)?,5
1373,Sport,Hoeveel keer won Argentinië de FIFA World Cup voetbal bij de mannen (2024)?,3
1374,Sport,Hoeveel keer won Uruguay de FIFA World Cup voetbal bij de mannen?,2
1375,Sport,Hoeveel Copa América titels won Argentinië tot 2024?,16
1376,Sport,Hoeveel keer was Brazilië gastheer van de FIFA World Cup?,2
1377,Politiek en recht,Hoeveel staten heeft Brazilië?,26
1378,Politiek en recht,Hoeveel staten heeft Mexico?,32
1379,Politiek en recht,Hoeveel provincies heeft Argentinië (inclusief de hoofdstad als aparte provincie)?,24
1380,Politiek en recht,Hoeveel leden telt de Mercosur handelsblok als volwaardige leden?,4
1381,Politiek en recht,Hoeveel landen telt de CELAC organisatie bij benadering (in tientallen afgerond)?,30
1382,Geografie,Hoeveel landen grenzen aan Zuid-Afrika?,6
1383,Geografie,Hoeveel landen grenzen aan Kenia?,5
1384,Geografie,Hoeveel landen grenzen aan Tanzania?,8
1385,Geografie,Hoeveel landen grenzen aan Egypte?,4
1386,Geografie,Hoeveel landen grenzen aan Niger?,7
1387,Geografie,Hoeveel landen grenzen aan Mali?,7
1388,Geografie,Hoeveel landen grenzen aan Algerije?,7
1389,Geografie,Hoeveel landen grenzen aan Libië?,6
1390,Geografie,Hoeveel landen grenzen aan Soedan?,7
1391,Geografie,Hoeveel landen grenzen aan Ethiopië?,6
1392,Geografie,Hoeveel landen grenzen aan Congo-Kinshasa?,9
1393,Geografie,Hoeveel landen grenzen aan Angola?,4
1394,Geografie,Hoeveel landen grenzen aan Mozambique?,6
1395,Geografie,Hoeveel landen grenzen aan Nigeria?,4
1396,Geografie,Hoeveel landen grenzen aan Ghana?,3
1397,Geografie,Hoeveel landen grenzen aan Kameroen?,6
1398,Geografie,Hoeveel landen grenzen aan Tsjaad?,6
1399,Geografie,Hoeveel landen grenzen aan Oeganda?,5
1400,Geografie,Hoeveel Afrikaanse landen liggen aan de Rode Zee?,6
1401,Geografie,Hoeveel kilometer lang is de Kongorivier bij benadering (in duizenden km afgerond)?,5
1402,Geografie,Hoeveel kilometer lang is de Nigerrivier bij benadering (in duizenden km afgerond)?,4
1403,Geografie,Hoeveel kilometer lang is de Zambezirivier bij benadering (in duizenden km afgerond)?,3
1404,Geografie,Hoeveel meter hoog is Mount Kenya afgerond op honderdtallen?,5200
1405,Geografie,"Hoeveel meter hoog is de Toubkal, hoogste piek van het Atlasgebergte, afgerond op honderdtallen?",4200
1406,Geschiedenis,In welk jaar werd Kenia onafhankelijk van Groot-Brittannië?,1963
1407,Geschiedenis,In welk jaar werd Nigeria onafhankelijk?,1960
