excel_row,bron_url,geverifieerd,gecorrigeerd_antwoord,opmerking
1461,https://tradingeconomics.com/colombia/population-total-wb-data.html,ja,,"Colombia had circa 52,7-52,9 miljoen inwoners in 2024 (World Bank/Trading Economics); afgerond op tientallen = 50."
1462,https://www.gob.pe/en/institucion/inei/noticias/987317-al-2024-la-poblacion-peruana-proyectada-alcanza-los-34-millones-de-habitantes,ja,,Peruaans statistiekbureau INEI: circa 34 miljoen inwoners in 2024; afgerond op tientallen = 30.
1463,https://www.focus-economics.com/country-indicator/chile/population/,ja,,"Schattingen voor 2024 liggen rond 19,8-20,1 miljoen; afgerond op tientallen = 20."
1464,https://www.britannica.com/place/Lake-Titicaca,ja,,Titicacameer ligt op ca. 3810-3812 m boven zeeniveau; in duizenden afgerond = 4.
1465,https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue),ja,,"Beeld is 30 m hoog, met sokkel (8 m) 38 m totaal; afgerond op tientallen = 40."
1466,https://www.britannica.com/place/El-Castillo,ja,,Elke van de vier zijden van El Castillo heeft 91 treden.
1467,https://www.britannica.com/place/El-Castillo,ja,,"4x91 treden + 1 bovenplatform = 365, overeenkomend met dagen in het jaar."
1468,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,ja,,Mexico werd onafhankelijk op 27 september 1821 (Verdrag van Cordoba/intocht in Mexico-Stad).
1469,https://en.wikipedia.org/wiki/Peruvian_War_of_Independence,ja,,"Peru riep onafhankelijkheid uit op 28 juli 1821 (San Martin); definitieve nederlaag Spanje 1824, maar 1821 is de algemeen aangehouden jaartal."
1470,https://en.wikipedia.org/wiki/Argentina_Independence_Day,ja,,Argentinie verklaarde onafhankelijkheid op 9 juli 1816 (Congres van Tucuman).
