excel_row,Categorie,Vraag NL,Antwoord
1037,Nederlands,Hoeveel kilometer lang is de Westerscheldetunnel?,6
1038,Nederlands,Hoeveel voetbalstadions van eredivisieclubs hebben een capaciteit boven de 50.000 (Amsterdam Arena en De Kuip)?,2
1039,Nederlands,Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland afgerond op tientallen?,20
1040,Nederlands,Hoeveel meter hoog is het gebouw De Zalmhaven in Rotterdam afgerond op tientallen?,200
1041,Nederlands,Hoeveel stenen telt de klassieke Nederlandse bruine baksteen muur van een doorsnee woning per m² bij benadering (in tientallen)?,60
1042,Nederlands,Hoeveel landen stemden vóór het Nederlands als EU-taal?,0
1043,Nederlands,Hoeveel eenheden telt de Nederlandse duizendguldenbiljet-collectie uit 1970?,1
1044,Nederlands,Hoeveel kilometer lang is de Betuweroute goederenspoorlijn?,160
1045,Nederlands,Hoeveel kilometer lang is de Veluwemeer aquaduct (in tientallen meters afgerond)?,3
1046,Nederlands,"Hoeveel koppen bevat het standaard Nederlands kroegbord van biertjes (Pils, Dubbel, Tripel, Quadrupel)?",4
1047,Nederlands,Hoeveel ml bevat een standaard Nederlandse borrelglas jenever?,35
1048,Nederlands,Hoeveel liter melk drinkt de gemiddelde Nederlander per jaar afgerond op tientallen liters?,50
1049,Nederlands,Hoeveel bladzijden telt de Dictionary of the Dutch Language (Woordenboek der Nederlandsche Taal) in duizenden bladzijden?,45
1050,Nederlands,Hoeveel procent van Nederland ligt onder zeeniveau ongeveer (afgerond op tientallen)?,30
1051,Nederlands,Hoeveel landen deden er mee aan het Nederlands kampioenschap wielrennen voor clubs?,0
1052,Nederlands,Hoeveel NL-doelpunten maakte Robin van Persie voor Oranje in zijn carrière afgerond op tientallen?,50
1053,Nederlands,Hoeveel stockbeurzen telt Nederland (Euronext Amsterdam plus het Energiepunt)?,1
1054,Nederlands,Hoeveel vlindersoorten komen voor in Nederland bij benadering (in tientallen)?,50
1055,Nederlands,Hoeveel duikboten telt de Nederlandse marine standaard per vloot?,4
1056,Nederlands,Hoeveel strepen heeft het Nederlandse vlagontwerp in horizontale banen?,3
1057,Nederlands,Hoeveel procent van de Nederlanders zegt dagelijks te fietsen (afgerond op tientallen)?,60
1058,Nederlands,Hoeveel Nederlandse koningen droegen de naam Willem vóór Willem-Alexander?,3
1059,Nederlands,Hoeveel schaatsbanen van 400 meter heeft Nederland bij benadering (in tientallen)?,20
1060,Nederlands,Hoeveel kilometer lang is de Maas in Nederland bij benadering (afgerond op tientallen)?,250
1061,Nederlands,Hoeveel landen van het Koninkrijk der Nederlanden zijn er naast Nederland zelf?,3
1062,Nederlands,Hoeveel liter water verbruikt de gemiddelde Nederlander per dag afgerond op tientallen?,100
1063,Nederlands,Hoeveel kilometer lang is de Metro van Rotterdam netwerk in totaal (afgerond op tientallen)?,80
1064,Nederlands,Hoeveel NL-postcodes cijfers heeft een Nederlandse postcode standaard (vier cijfers plus twee letters)?,4
1065,Nederlands,Hoeveel korfbal-spelers staan er per team op het veld bij de Nederlandse Korfbal League?,8
1066,Nederlands,Hoeveel procent van de Nederlandse bevolking woont in de Randstad ongeveer (afgerond op tientallen)?,40
1067,Nederlands,Hoeveel Nederlandse koninginnen regeerden vóór koning Willem-Alexander?,3
1068,Nederlands,Hoeveel dagen duurt de Nederlands Film Festival in Utrecht?,10
1069,Nederlands,Hoeveel miljoen toeristen bezoekt Amsterdam jaarlijks ongeveer?,20
1070,Nederlands,Hoeveel kilometer lang is de Bollenstreek kustlijn langs bloembollenvelden (in tientallen km afgerond)?,3
1071,Nederlands,Hoeveel Friese elfsteden telt de klassieke Elfstedentocht?,11
1072,Nederlands,Hoeveel kilometer lang is de Elfstedentocht totaal afgerond op tientallen?,200
1073,Nederlands,Hoeveel keer is de Elfstedentocht in de 20e eeuw geschaatst?,15
1074,Nederlands,Hoeveel Nederlandse Nobelprijswinnaars zijn er bij benadering (in tientallen afgerond)?,20
1075,Nederlands,Hoeveel procent van de Nederlanders woont in een rijtjeshuis ongeveer (afgerond op tientallen)?,30
1076,Nederlands,Hoeveel Nederlandse astronauten zijn er naar de ruimte gevlogen?,3
1077,Nederlands,Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?,125
1078,Geografie,Hoeveel strepen staan er op de Amerikaanse vlag?,13
1079,Geografie,Hoeveel sterren staan er op de Amerikaanse vlag?,50
1080,Geografie,Hoeveel staten liggen er op het Noord-Amerikaanse vasteland van de VS (exclusief Alaska en Hawaii)?,48
1081,Geografie,Hoeveel tijdzones telt het vasteland van de VS?,4
1082,Geschiedenis,In welk jaar werd de Amerikaanse Onafhankelijkheidsverklaring ondertekend?,1776
1083,Geschiedenis,Hoeveel amendementen bevat de Amerikaanse Grondwet (Bill of Rights meegerekend in de eerste tien)?,27
1084,Geschiedenis,Hoeveel presidenten werden er vermoord in de Amerikaanse geschiedenis?,4
1085,Sport,Hoeveel spelers staan er per team op het veld bij American football?,11
1086,Sport,Hoeveel minuten officiële speeltijd heeft een NFL-wedstrijd?,60
1087,Sport,Hoeveel innings telt een standaard honkbalwedstrijd?,9
1088,Sport,Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?,48
1089,Sport,Hoeveel teams spelen er in de NFL?,32
