excel_row,Categorie,Vraag NL,Antwoord
1408,Geschiedenis,In welk jaar werd Ghana als eerste Afrikaanse kolonie onafhankelijk?,1957
1409,Geschiedenis,In welk jaar had Zuid-Afrika zijn eerste vrije verkiezingen na de apartheid?,1994
1410,Geschiedenis,Hoeveel jaar duurde de Biafra-oorlog?,3
1411,Geschiedenis,Hoeveel keer meer pyramides telt Soedan dan Egypte bij benadering?,2
1412,Dieren,Hoeveel kilometer per uur sprint een leeuw afgerond op tientallen?,80
1413,Dieren,Hoeveel kilogram weegt een volwassen witte neushoorn afgerond op duizendtallen?,2000
1414,Dieren,Hoeveel kilogram weegt een volwassen giraffe afgerond op honderdtallen?,1200
1415,Dieren,Hoeveel meter lang wordt een Afrikaanse olifant afgerond op hele meters?,7
1416,Dieren,Hoeveel soorten lemuren telt Madagaskar bij benadering (in tientallen)?,100
1417,Eten & drinken,Hoeveel procent van de wereldcacao komt uit West-Afrika afgerond op tientallen?,70
1418,Milieu en duurzaamheid,Hoeveel miljoen gnoes doen mee aan de Grote Migratie in de Serengeti (afgerond op miljoenen)?,2
1419,Politiek en recht,Hoeveel zetels telt het Zuid-Afrikaanse parlement (National Assembly)?,400
1420,Politiek en recht,Hoeveel officiële talen telt Zuid-Afrika sinds 2023?,12
1421,Muziek,Hoeveel snaren heeft de Ethiopische krar bij benadering (in tientallen afgerond)?,10
1422,Geografie,Hoeveel landen liggen er in Melanesië?,4
1423,Geografie,Hoeveel tijdzones heeft Australië?,3
1424,Geografie,Hoeveel tijdzones heeft Nieuw-Zeeland?,2
1425,Geografie,"Hoeveel meter hoog is Mount Kosciuszko, het hoogste punt van Australië, afgerond op honderdtallen?",2200
1426,Geografie,Hoeveel kilometer lang is de Murrayrivier bij benadering (in duizenden km afgerond)?,3
1427,Geografie,Hoeveel procent van Australië bestaat uit woestijn of droog gebied (afgerond op tientallen)?,70
1428,Geografie,"Hoeveel miljoen inwoners heeft Australië (2024, afgerond)?",27
1429,Geografie,"Hoeveel miljoen inwoners heeft Nieuw-Zeeland (2024, afgerond)?",5
1430,Geografie,Hoeveel staatjes telt Micronesië als federatie?,4
1431,Gebouwen en infrastructuur,Hoeveel meter hoog is de Sydney Tower afgerond op tientallen?,310
1432,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Eureka Tower in Melbourne?,91
1433,Dieren,Hoeveel soorten vogels telt Australië bij benadering (in honderden afgerond)?,800
1434,Dieren,Hoeveel kilogram weegt een volwassen emoe afgerond op tientallen?,50
1435,Dieren,Hoeveel eieren legt een kangoeroe per worp?,0
1436,Dieren,Hoeveel meter lang wordt een zoutwaterkrokodil maximaal afgerond op hele meters?,6
1437,Dieren,Hoeveel kilogram weegt een volwassen wombat afgerond op tientallen?,30
1438,Sport,Hoeveel keer was Australië gastheer van de zomer-Olympische Spelen (tot 2032)?,3
1439,Sport,Hoeveel keer was Nieuw-Zeeland gastheer van de Rugby World Cup bij de mannen?,2
1440,Sport,Hoeveel gouden medailles won Australië op de Olympische Zomerspelen 2024?,18
1441,Muziek,Hoeveel studioalbums bracht Kylie Minogue uit bij benadering (in tientallen afgerond)?,15
1442,Films en series,Hoeveel Oscars won de film The Piano (1993)?,3
1443,Films en series,Hoeveel Oscars won Gladiator (2000)?,5
1444,Politiek en recht,Hoeveel staten en territoria telt Australië samen?,8
1445,Politiek en recht,Hoeveel jaar duurt een termijn van het Australische Huis van Afgevaardigden?,3
1446,Politiek en recht,Hoeveel jaar duurt een termijn van het Nieuw-Zeelandse parlement?,3
1447,Geografie,Hoeveel landen grenzen aan Bolivia?,5
1448,Geografie,Hoeveel landen grenzen aan Venezuela?,3
1449,Geografie,Hoeveel landen grenzen aan Ecuador?,2
1450,Geografie,Hoeveel landen grenzen aan Paraguay?,3
1451,Geografie,Hoeveel landen grenzen aan Uruguay?,2
1452,Geografie,Hoeveel landen grenzen aan Chili?,3
1453,Geografie,Hoeveel landen grenzen aan Guatemala?,4
1454,Geografie,Hoeveel landen grenzen aan Panama?,2
1455,Geografie,Hoeveel landen grenzen aan Honduras?,3
1456,Geografie,Hoeveel landen grenzen aan Nicaragua?,2
1457,Geografie,Hoeveel landen grenzen aan Costa Rica?,2
1458,Geografie,"Hoeveel miljoen inwoners heeft Brazilië (2024, afgerond op honderdtallen)?",200
1459,Geografie,"Hoeveel miljoen inwoners heeft Mexico (2024, afgerond op honderdtallen)?",100
1460,Geografie,"Hoeveel miljoen inwoners heeft Argentinië (2024, afgerond op tientallen)?",50
