excel_row,Categorie,Vraag NL,Antwoord
1090,Sport,Hoeveel teams spelen er in de NBA?,30
1091,Sport,Hoeveel punten levert een touchdown op in American football (met extra point)?,7
1092,Sport,Hoeveel rings heeft het NBA-logo in het midden?,1
1093,Sport,Hoeveel Super Bowls won Tom Brady in zijn carrière?,7
1094,Sport,Hoeveel kuiven heeft een honkbalveld (bases plus home plate)?,4
1095,Gebouwen en infrastructuur,Hoeveel meter hoog is het Empire State Building afgerond op tientallen?,440
1096,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Golden Gate Bridge hoofdspanssegment?,1280
1097,Gebouwen en infrastructuur,Hoeveel kilometer telt de Route 66 bij benadering (in duizenden kilometers afgerond)?,4
1098,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft het Witte Huis?,4
1099,Geografie,Hoeveel kilometer lang is de Mississippi rivier bij benadering (in duizenden km afgerond)?,4
1100,Geografie,Hoeveel meter diep is de Grand Canyon op het diepste punt afgerond op honderdtallen?,1800
1101,Geografie,Hoeveel kilometer lang is de Grand Canyon ongeveer (in honderden km afgerond)?,400
1102,Geografie,Hoeveel nationale parken telt de VS bij benadering (in tientallen)?,60
1103,Geografie,Hoeveel van de Grote Meren liggen in de VS en Canada samen?,5
1104,Sterrenkunde & ruimte,Hoeveel NASA-mannetjes missies naar de maan (Apollo) landden er daadwerkelijk?,6
1105,Sterrenkunde & ruimte,Hoeveel NASA astronauten liepen er op de maan (alles bij elkaar)?,12
1106,Sterrenkunde & ruimte,Hoeveel Spaceshuttles bouwde NASA totaal voor orbitale vluchten?,5
1107,Sterrenkunde & ruimte,Hoeveel dagen duurde de Apollo 11 missie naar de maan en terug afgerond op tientallen?,10
1108,Technologie,In welk jaar werd Apple opgericht?,1976
1109,Technologie,In welk jaar werd Microsoft opgericht?,1975
1110,Technologie,In welk jaar werd Google opgericht?,1998
1111,Technologie,In welk jaar werd Facebook opgericht?,2004
1112,Technologie,In welk jaar werd Amazon opgericht?,1994
1113,Technologie,In welk jaar bracht Apple de eerste iPhone uit?,2007
1114,Eten & drinken,Hoeveel calorieën bevat een klassieke Amerikaanse Big Mac afgerond op tientallen?,550
1115,Eten & drinken,Hoeveel ons vlees bevat de klassieke Quarter Pounder?,4
1116,Eten & drinken,Hoeveel gram suiker zit er in een blikje Coca-Cola van 12 ounce (355 ml) afgerond op tientallen?,39
1117,Films en series,Hoeveel Oscars won de film Forrest Gump?,6
1118,Films en series,Hoeveel Star Wars films uit de Skywalker Saga verschenen er?,9
1119,Films en series,Hoeveel Jurassic Park films verschenen er in totaal?,6
1120,Films en series,Hoeveel Avengers telde het originele team in de MCU film Avengers (2012)?,6
1121,Films en series,Hoeveel seizoenen telde de serie The Office US?,9
1122,Muziek,Hoeveel Grammys won Beyoncé in totaal tot 2023?,32
1123,Muziek,Hoeveel studioalbums bracht Taylor Swift uit tot 2024?,11
1124,Muziek,Hoeveel nummer 1-hits had The Beatles in de Billboard Hot 100?,20
1125,Muziek,Hoeveel nummer 1-albums had Elvis Presley in de VS?,10
1126,Dieren,Hoeveelkg weegt een volwassen Amerikaanse bizon mannetje afgerond op honderdtallen?,900
1127,Dieren,Hoeveel soorten kolibries komen voor in de VS bij benadering (in tientallen)?,20
1128,Politiek en recht,Hoeveel rechterzittingen telt het Amerikaanse Hooggerechtshof?,9
1129,Politiek en recht,Hoeveel jaren duurt een termijn van een Amerikaanse senator?,6
1130,Politiek en recht,Hoeveel jaren duurt een termijn van een Amerikaanse vertegenwoordiger (House of Representatives)?,2
1131,Politiek en recht,Hoeveel leden telt het Amerikaanse Huis van Afgevaardigden?,435
1132,Politiek en recht,Hoeveel electorale stemmen heeft Californië (2024)?,54
1133,Politiek en recht,Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?,270
1134,Politiek en recht,Hoeveel electorale stemmen heeft Texas (2024)?,40
1135,Politiek en recht,Hoeveel jaren zit een Amerikaanse president maximaal in twee termijnen?,8
1136,Geografie,Hoeveel landen liggen er in Europa bij benadering (in tientallen)?,50
1137,Geografie,Hoeveel landen zijn lid van de Europese Unie (2024)?,27
1138,Geografie,Hoeveel officiele talen telt de Europese Unie?,24
1139,Geografie,Hoeveel Europese landen liggen er niet op het vasteland (exclusief eilanden) in de EU als eilandstaten?,2
1140,Geografie,Hoeveel meter hoog is de Mont Blanc afgerond op tientallen?,4800
1141,Geografie,Hoeveel kilometer lang is de Rijn rivier bij benadering (in honderden km afgerond)?,1300
1142,Geografie,Hoeveel kilometer lang is de Donau rivier bij benadering (in duizenden km afgerond)?,3
