excel_row,Categorie,Vraag NL,Antwoord
984,Nederlands,Hoeveel inwoners heeft Amsterdam ongeveer in duizendtallen (2024)?,930
985,Nederlands,Hoeveel biljarten heeft het Binnenhof te Den Haag traditioneel?,3
986,Nederlands,Hoeveel meter hoog is de Domtoren in Utrecht?,112
987,Nederlands,"Hoeveel wilde knuffels passen er in het themapark de Efteling qua attracties, afgerond op tientallen (2024)?",40
988,Nederlands,Hoeveel terrassen heeft de Euromast in Rotterdam totaal?,2
989,Nederlands,Hoeveel gram suiker bevat een standaard reep chocolade van Droste van 100 gram ongeveer?,55
990,Nederlands,Hoeveel dagen duurt de Nederlands Dans Theater-productie Stop-Motion doorgaans per seizoensblok?,3
991,Nederlands,Hoeveel meter lang is de Maasvlakte²-stormvloedkering maasvlakte (in honderden meters)?,11
992,Nederlands,Hoeveel kapstokkaarten telt een standaard Nederlandse Mens-erger-je-niet?,4
993,Nederlands,Hoeveel polders telt Flevoland in de klassieke indeling?,2
994,Nederlands,Hoeveel grafkelders telt de Grote Kerk van Dordrecht bij benadering (in honderdtallen)?,2
995,Nederlands,Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?,185
996,Nederlands,Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?,8
997,Nederlands,Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?,3
998,Nederlands,Hoeveel bruggen telt het klassieke orkestnummer Bruggetje van Sainte Anneï in de titel niet?,0
999,Nederlands,Hoeveel km lang is de Hanzelijn spoorlijn Lelystad-Zwolle afgerond?,50
1000,Nederlands,Hoeveel kilometer fietspad telt Nederland bij benadering in duizenden kilometers?,37
1001,Nederlands,Hoeveel landen grenzen aan Nederland?,2
1002,Nederlands,Hoeveel Waddeneilanden behoren tot Nederland?,5
1003,Nederlands,Hoeveel dagen duurt de Alvleeskliervlaamse Wielerweek Vredeskoers niet?,0
1004,Nederlands,"Hoeveel koppen bevat de Nederlandse driehoek bestuursniveaus (rijk, provincie, gemeente)?",3
1005,Nederlands,Hoeveel kinderen heeft koning Willem-Alexander?,3
1006,Nederlands,Hoeveel windmolens staan er bij Kinderdijk?,19
1007,Nederlands,Hoeveel meter diep is het Zeelandbrug het hoogste punt voor schepen?,16
1008,Nederlands,Hoeveel dozen chocoladeletters koopt Nederland gemiddeld per persoon rond Sinterklaas (afgerond)?,1
1009,Nederlands,Hoeveel kilometer lang is de Nederlandse kustlijn bij benadering afgerond op honderdtallen?,500
1010,Nederlands,Hoeveel miljoen koeien telt Nederland bij benadering?,4
1011,Nederlands,Hoeveel musea telt Amsterdam bij benadering (in tientallen)?,80
1012,Nederlands,Hoeveel verdiepingen heeft De Rotterdam van architect Rem Koolhaas?,44
1013,Nederlands,Hoeveel goals maakte Johan Cruyff gemiddeld per Eredivisieseizoen voor Ajax (afgerond)?,20
1014,Nederlands,Hoeveel keer werd Nederland Europees kampioen voetbal bij de mannen?,1
1015,Nederlands,Hoeveel keer won Oranje de FIFA World Cup bij de mannen?,0
1016,Nederlands,Hoeveel gram weegt een stroopwafel van het merk Daelmans standaard?,32
1017,Nederlands,Hoeveel miljard euro is het jaarlijkse Nederlandse defensiebudget 2024 afgerond op tientallen miljarden?,20
1018,Nederlands,"Hoeveel universiteiten van de UdK-tier behoren tot de klassieke Nederlandse top-3 (Leiden, Utrecht, Groningen)?",3
1019,Nederlands,Hoeveel uur duurt de treinreis Amsterdam-Paris Thalys ongeveer (in hele uren)?,3
1020,Nederlands,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300
1021,Nederlands,Hoeveel maanden per jaar telt het Nederlandse voetbalseizoen Eredivisie doorgaans?,9
1022,Nederlands,Hoeveel eilanden telt de Nederlandse Antillen in de huidige status van landen?,0
1023,Nederlands,Hoeveel banen heeft de Nederlandsche Bank in het monetaire bestuur?,1
1024,Nederlands,Hoeveel ritten maakt de Noord-Zuidlijn metro dagelijks bij benadering in honderden?,5
1025,Nederlands,Hoeveel graden Kelvin kookt water in Nederlands keukenomgeving afgerond op tientallen?,370
1026,Nederlands,Hoeveel km² beslaat de provincie Utrecht ongeveer afgerond op honderdtallen?,1500
1027,Nederlands,Hoeveel meter lang is het grootste Nederlands cruiseschip de Rotterdam (in honderden meters)?,3
1028,Nederlands,"Hoeveel kaasmarkten telt Nederland klassiek per week in Alkmaar, Gouda en Edam samen?",3
1029,Nederlands,Hoeveel landen kocht de VOC formeel aan als koloniale gebieden?,0
1030,Nederlands,Hoeveel kilometer lang is de Wilhelminapier in Rotterdam (in tientallen meters afgerond)?,3
1031,Nederlands,Hoeveel molens staan er op de Zaanse Schans bij benadering (in tientallen)?,10
1032,Nederlands,Hoeveel gram boter gaat in de klassieke Nederlandse boterkoek per 10 porties?,250
1033,Nederlands,Hoeveel keer per jaar publiceert het CBS de driejaarlijkse woondenquête?,1
1034,Nederlands,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9
1035,Nederlands,Hoeveel duizend inwoners heeft Rotterdam bij benadering?,650
1036,Nederlands,Hoeveel dorpen en steden telt de gemeente Amsterdam bij benadering (in tientallen)?,5
