excel_row,Categorie,Vraag NL,Antwoord
1302,Geografie,Hoeveel kilometer lang is de Great Barrier Reef bij benadering (in duizenden km afgerond)?,2
1303,Geografie,Hoeveel eilanden telt het Great Barrier Reef bij benadering (in honderden afgerond)?,900
1304,Geografie,Hoeveel eilanden heeft Fiji bij benadering (in honderden afgerond)?,300
1305,Geografie,Hoeveel eilanden heeft Papoea-Nieuw-Guinea bij benadering (in honderden afgerond)?,600
1306,Geografie,Hoeveel meter hoog is Mount Cook (Aoraki) afgerond op honderdtallen?,3700
1307,Geografie,Hoeveel meter hoog is Uluru (Ayers Rock) afgerond op tientallen?,350
1308,Geografie,Hoeveel nationale parken telt Australië bij benadering (in honderden afgerond)?,500
1309,Geografie,Hoeveel kilometer lang is de Australische kustlijn bij benadering (in duizenden km afgerond)?,50
1310,Gebouwen en infrastructuur,Hoeveel schelpvormige panelen bedekken het dak van de Sydney Opera House bij benadering (in miljoenen)?,1
1311,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?,78
1312,Gebouwen en infrastructuur,Hoeveel boogpartijen heeft de Sydney Harbour Bridge?,1
1313,Gebouwen en infrastructuur,Hoeveel rivieren bruggen telt Sydney Harbour?,0
1314,Dieren,Hoeveel buideldierensoorten bevat de klassieke Australische megafauna lijst bij benadering (in tientallen)?,20
1315,Dieren,Hoeveel kg weegt een volwassen mannelijke kangoeroe afgerond op tientallen?,90
1316,Dieren,Hoeveel uur per dag slaapt een koala bij benadering (in tientallen uur afgerond)?,20
1317,Dieren,Hoeveel soorten kangoeroes bevat de macropod-familie bij benadering (in tientallen afgerond)?,50
1318,Dieren,Hoeveel cm lang wordt een volwassen emoe vrouwtje bij benadering (in tientallen cm)?,150
1319,Dieren,Hoeveel giftige spinnensoorten kent Australië bij benadering (in tientallen afgerond)?,40
1320,Dieren,Hoeveel van de 10 giftigste slangen ter wereld komen voor in Australië?,0
1321,Sport,Hoeveel keer won Nieuw-Zeeland de Rugby World Cup bij de mannen tot 2023?,3
1322,Sport,Hoeveel keer won Australië de Rugby World Cup bij de mannen tot 2023?,2
1323,Sport,Hoeveel spelers staat er per ploeg op het veld bij een rugby league-wedstrijd?,13
1324,Sport,Hoeveel Australische Open titels won Novak Djokovic tot 2024?,10
1325,Sport,Hoeveel dagen duurt de Tour Down Under wielrennen?,6
1326,Muziek,Hoeveel Grammy won de Australische band AC/DC bij benadering (in tientallen afgerond)?,0
1327,Muziek,Hoeveel albums bracht AC/DC uit tot 2024 (studioalbums)?,17
1328,Muziek,Hoeveel albums bracht de Australische band Midnight Oil uit bij benadering (in tientallen afgerond)?,10
1329,Films en series,Hoeveel Oscars won de film Mad Max Fury Road?,6
1330,Films en series,Hoeveel Mad Max films zijn er in totaal gemaakt?,5
1331,Films en series,Hoeveel uur duurt de film Avatar: The Way of Water bij benadering (in hele uren afgerond)?,3
1332,Politiek en recht,Hoeveel zetels telt het Australische Huis van Afgevaardigden (House of Representatives) bij benadering (in tientallen afgerond)?,150
1333,Politiek en recht,Hoeveel zetels telt de Nieuw-Zeelandse Kamer van Afgevaardigden?,120
1334,Politiek en recht,Hoeveel landen telt Oceanië bij benadering (in tientallen afgerond)?,10
1335,Politiek en recht,Hoeveel landen telt het Pacific Islands Forum bij benadering (in tientallen afgerond)?,20
1336,Geografie,Hoeveel landen telt Midden-Amerika (inclusief Mexico bij sommige tellingen) bij benadering (in tientallen afgerond)?,10
1337,Geografie,Hoeveel landen grenzen aan Peru?,5
1338,Geografie,Hoeveel landen grenzen aan Colombia?,5
1339,Geografie,Hoeveel landen grenzen aan Argentinië?,5
1340,Geografie,Hoeveel kilometer lang is de Amazone rivier bij benadering (in duizenden km afgerond)?,7
1341,Geografie,Hoeveel landen deelt het Amazonebekken bij benadering (in tientallen afgerond)?,10
1342,Geografie,Hoeveel vierkante kilometer beslaat het Amazone regenwoud bij benadering (in miljoenen km² afgerond)?,6
1343,Geografie,Hoeveel kilometer lang is de Andes bergketen bij benadering (in duizenden km afgerond)?,7
1344,Geografie,Hoeveel landen deelt de Andes bergketen bij benadering (in tientallen afgerond)?,10
1345,Geografie,Hoeveel meter hoog is de Aconcagua (hoogste piek van de Andes en buiten-Azië) afgerond op honderdtallen?,7000
1346,Geografie,Hoeveel meter hoog is de Angel Falls (Salto Angel) afgerond op honderdtallen?,900
1347,Geografie,Hoeveel meter hoog is de Titicaca meer boven zeeniveau afgerond op honderdtallen?,3800
1348,Gebouwen en infrastructuur,Hoeveel meter lang is het Panamakanaal (in tientallen km afgerond)?,80
1349,Gebouwen en infrastructuur,Hoeveel sluizen heeft het Panamakanaal bij benadering (in tientallen afgerond)?,10
1350,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Metro van Mexico-Stad netwerk bij benadering (in honderden km afgerond)?,200
1351,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Gran Torre Santiago in Chili (tallest in Latijns-Amerika)?,62
1352,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft het woontoren BD Bacatá in Bogotá bij benadering (in tientallen afgerond)?,60
1353,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Christus Redentor standbeeld hoogte in meters afgerond op tientallen?,40
1354,Gebouwen en infrastructuur,Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?,40
